Address,Balance,Token
0xd6f5646d9e7fbee7cc907eb8e12dafa5378431e6,10.6000,"MLN"
0x58c64fcdbaa83ff2c238c340a8d062ee320cbc36,1.1975,"MLN"
0xb1a1120a59ff69db2a5053f77de739f3d95b103e,1.7969,"MLN"
0x457f06e79450dc6a4a05b9c28a407ebe05909838,0.0100,"MLN"
0x50838ca71e6b0168f37fac396c9dd3a9e8a05c4d,8.2503,"MLN"
0x7d76b0163e3b6f9493b1dc7233031ac8e83f5872,53.3657,"MLN"
0x00073103c819211ef56d0a8ba7f71c11a84aa55f,2030.0000,"MLN"
0x2458cc8c11485357421976b99c760f344d3e5f82,24.1888,"MLN"
0x00e46d71a45b1030384ad03ae9d95d3c017ac3f1,24.4759,"MLN"
0xd1f27c48b948d49f3d098f499b8a1830d8a7e229,11.1459,"MLN"
0x5504af69e1d9d9ae01c4c0078b5f584d3c4a1a79,22.1573,"MLN"
0x92340cb1c1b47214aeb20b0fffaa5861e6101b00,0.5025,"MLN"
0x01cced0435d1d5c635b36c409c3f3ef5bdd87fb8,1.1704,"MLN"
0x3cedae444233393c1a445ef80870af01999f5eee,1.0242,"MLN"
0xdf5c864bf7c6a943dcdabfb0755d1aed7ab3f44a,28.2148,"MLN"
0xcb7060a6a0bd61c59b40dd6cdf9e44a3de063470,68.0875,"MLN"
0x90884c289b85fc35be75c9302f84d1aa18cc264e,1.0470,"MLN"
0xfcd2f9e90f2c016faa199c9c6a12b2db0278d16a,0.0000,"MLN"
0x34c5b6fd48839bcba37245df49f2875645ccd6d4,0.0333,"MLN"
0xbff2ca6fa071b81493cb227a118ed311a35e9ca2,0.0100,"MLN"
0xaa55a54cb9ac0dc33dcf2eca497e17bf0bf30a78,0.9900,"MLN"
0x17a751f1435c410fedf39198a63c78ef58b4d440,1.0275,"MLN"
0xf3e8617ac9ccc2f38c9a56dc558a17bd4fd3de80,44.8275,"MLN"
0x1040b7126e59207b202559175bff82aa9e40f54f,120.2871,"MLN"
0xa93cb9fb3e43b6b4853588f24bb03e887e024d24,0.1109,"MLN"
0x650aec37a89e5df1e8cd85b0b9fa9398d863f229,8.8130,"MLN"
0x0ef9cbda3910ee6c06be057292e6d85a22022d50,0.0693,"MLN"
0x26a1be121d5e126972f5849660bbcf0e319673fb,2.4950,"MLN"
0x8baf084d04b0b837fa31ae2e37862344dc6285c7,17.6438,"MLN"
0x4673cfd6908b210bc3069404d00daecb1504a458,160.2691,"MLN"
0xbdf8659f4804006e37c68dded8ad4a904518a286,0.9970,"MLN"
0x1dba1131000664b884a1ba238464159892252d3a,11.1459,"MLN"
0xa4891884e27dfb6a5903a67c171d3250b37c1c5b,6.0988,"MLN"
0x0437ce3c6e4739d3127a533a05c99fa6d3082abd,245.0353,"MLN"
0x66e69f9a50dd3ddc43296de9bdda03e48fb6a2ea,8.3538,"MLN"
0x43aa6f03b8d00bccad51e6caa792acb06fbd82d8,0.0887,"MLN"
0xf839b844f31855876dbae2bdcbcb2a028d267767,10.0043,"MLN"
0xd0029c2bd4df21755fc98f4aa3e34a5581baf274,7.1630,"MLN"
0x16717ea4bb0bac2e8ecd361d3d11376b0cfcff38,6.1970,"MLN"
0xac680ec754be285bb6a98e070fa27d5480ff37b1,1.4970,"MLN"
0x2ba98481513822257dfc80a0dcfbf54db4f389ac,219.3153,"MLN"
0xaa641363e88a6e3562e317fd90f243f525021a1e,1.0081,"MLN"
0x2eed1a74f19785751c4678f2af6815261b561788,0.4065,"MLN"
0x0989fed33d99c531eb3e6d583b594a0fb60710ff,2.3345,"MLN"
0xa712de3838f173250c3f3efbd1dcd1f739f3ee3f,1.0970,"MLN"
0x400eb8beb4f567fb327033b452cc6e63d96fbbf7,1.2866,"MLN"
0xd9b3d87cf3be340e8b5c64207259c83541cb0978,0.8683,"MLN"
0x008202f0ad320438ab85e773fe57bc091ed1f5a6,100.0000,"MLN"
0x5e575279bf9f4acf0a130c186861454247394c06,1019.1552,"MLN"
0x4b525ae3a20021639d6e00bf752e6d2b7f65196e,1.5000,"MLN"
0x26e8840b336a175f19ee32d3a9ba0cf76ea8386a,3.9970,"MLN"
0xa351cf853aaa506e754147da20e9c6579355cca4,0.0100,"MLN"
0x4a6bad7493c22c878672a01dcf3aa1618f76adac,0.3345,"MLN"
0x71341a8392e65ce8ff2b41c00d3fe2ad87b9be00,4.6870,"MLN"
0x5c78dcdcdc1b6f5c98c7c64d968ae1ecd0f22c0b,0.8683,"MLN"
0xd46d10531f3704c7bcceeabe750dec559e035ed5,82.9399,"MLN"
0x6c7039afec320d77458bf4cdb6fbff39b15af7b0,97.1076,"MLN"
0x80d63799b1e08a80f73fb7a83264b5c31600bf3a,0.8683,"MLN"
0xf7ce97aa756a98a5fcb63e45cab2dd0a58fe52dc,1.8315,"MLN"
0xd36240d1714e992d5c0e0c17a9ac63f7fa98afd9,6.5434,"MLN"
0x7869851ecf7c6d62879917fdc21f95a862e62961,68.9303,"MLN"
0x78fc1e5945dd124ec7f45a9d6a408e3b57788112,1.0488,"MLN"
0x45dbdbd3a3650bc1a1c069691da73dbf3e188703,38.6716,"MLN"
